sim,method,n_pathways_matched,mean_pearson,median_pearson,mean_spearman,recall_at_5,de_precision,de_recall,de_f1,de_n_predicted,de_n_true
sim1,decoupler_gsva,30,0.9064820362383826,0.912725204672659,0.9376887410635167,0.8257777777777778,0.24,1.0,0.3870967741935484,25,6
sim1,decoupler_ulm,30,0.9198419356365055,0.9243934897682,0.9227059160978388,0.7524444444444445,0.21428571428571427,1.0,0.35294117647058826,28,6
sim1,graphist,30,0.9099730037683185,0.9265733672871341,0.9040779146326844,0.7151111111111111,0.6666666666666666,1.0,0.8,9,6
sim1,stan,30,0.9804114513813917,0.9825921670558855,0.9776213781333888,0.8526666666666667,1.0,1.0,1.0,6,6
sim1,vega,30,0.9407899398195028,0.958795643439913,0.9332733925185915,0.7531111111111111,0.6666666666666666,1.0,0.8,9,6
sim2_hard,decoupler_gsva,30,0.7848510897484957,0.8108245571181303,0.7782034349073205,0.6191111111111111,1.0,1.0,1.0,6,6
sim2_hard,decoupler_ulm,30,0.805412573130528,0.8354396474099186,0.7904713435174339,0.6184444444444445,1.0,1.0,1.0,6,6
sim2_hard,graphist,30,0.873782316266384,0.9126957269589456,0.8621392805560392,0.6817777777777777,0.75,1.0,0.8571428571428571,8,6
sim2_hard,stan,30,0.8784204804003372,0.8971617797813664,0.8634192645779672,0.6855555555555556,1.0,1.0,1.0,6,6
sim2_hard,vega,30,0.7520005871871693,0.8037595233230793,0.7303004818524469,0.5646666666666667,0.8571428571428571,1.0,0.923076923076923,7,6
sim3_nonlinear,decoupler_gsva,30,0.7176064695595751,0.7466954386093606,0.7552583906667178,0.46155555555555555,0.6666666666666666,1.0,0.8,9,6
sim3_nonlinear,decoupler_ulm,30,0.7126816892791435,0.73572943035652,0.7601554767351567,0.45422222222222225,0.6,1.0,0.7499999999999999,10,6
sim3_nonlinear,graphist,30,0.7887416950008632,0.8020028501573009,0.8149007053643825,0.5624444444444444,0.5454545454545454,1.0,0.7058823529411764,11,6
sim3_nonlinear,stan,30,0.8380976567191744,0.846179854041841,0.8763110171192257,0.5537777777777777,1.0,1.0,1.0,6,6
sim3_nonlinear,vega,30,0.6918791753667864,0.7136440818146744,0.733995405970436,0.46044444444444443,0.6,1.0,0.7499999999999999,10,6
sim4_interaction,decoupler_gsva,30,0.8824757012093822,0.9089868174989435,0.9077956124064978,0.7742222222222221,0.5,1.0,0.6666666666666666,12,6
sim4_interaction,decoupler_ulm,30,0.8799578977491219,0.9202954810739151,0.8868103398207213,0.7244444444444444,0.3,1.0,0.4615384615384615,20,6
sim4_interaction,graphist,30,0.8968362873305727,0.9148051003069823,0.8991803814298263,0.6937777777777776,0.8571428571428571,1.0,0.923076923076923,7,6
sim4_interaction,stan,30,0.9461749222218158,0.9809615330640986,0.9514006522093101,0.7924444444444445,1.0,1.0,1.0,6,6
sim4_interaction,vega,30,0.9182942473256492,0.9474560114135515,0.9190061738073477,0.7140000000000001,0.75,1.0,0.8571428571428571,8,6
sim5_strong_interaction,decoupler_gsva,30,0.7772952101736852,0.8086309589741862,0.7930353954418882,0.6704444444444443,0.375,1.0,0.5454545454545454,16,6
sim5_strong_interaction,decoupler_ulm,30,0.5210578345737333,0.4998085691315659,0.5053121250766978,0.45200000000000007,0.29411764705882354,0.8333333333333334,0.4347826086956522,17,6
sim5_strong_interaction,graphist,30,0.7776410878506504,0.8526701518823612,0.794460816206769,0.6286666666666666,0.5454545454545454,1.0,0.7058823529411764,11,6
sim5_strong_interaction,stan,30,0.5560245735464768,0.4730759000274153,0.5722652925085917,0.4613333333333334,0.3333333333333333,0.6666666666666666,0.4444444444444444,12,6
sim5_strong_interaction,vega,30,0.7831428732454373,0.8732909184682173,0.802237140611039,0.6382222222222222,0.5454545454545454,1.0,0.7058823529411764,11,6
sim6_realistic,decoupler_gsva,29,0.7157348626664249,0.7422540146443031,0.7128082803090275,0.599111111111111,0.2222222222222222,1.0,0.3636363636363636,27,6
sim6_realistic,decoupler_ulm,29,0.7256077575528624,0.7681162944330858,0.7097791308469475,0.34577777777777785,0.2222222222222222,1.0,0.3636363636363636,27,6
sim6_realistic,graphist,29,0.7870360375113109,0.8489233913672622,0.7750250499103072,0.6357777777777777,0.3333333333333333,1.0,0.5,18,6
sim6_realistic,stan,29,0.8362023444685477,0.8685233365827603,0.8211085965155088,0.3380000000000001,1.0,1.0,1.0,6,6
sim6_realistic,vega,29,0.6611736307731506,0.7336172572859356,0.6436203677447424,0.5508888888888889,0.3333333333333333,1.0,0.5,18,6
sim7_compound,decoupler_gsva,30,0.6795779985886251,0.6995907670469392,0.6794715282177285,0.5777777777777777,0.2608695652173913,1.0,0.41379310344827586,23,6
sim7_compound,decoupler_ulm,30,0.5007510464080531,0.5153160339157906,0.4667674870929196,0.44044444444444447,0.3333333333333333,1.0,0.5,18,6
sim7_compound,graphist,30,0.7035683387095956,0.7688960032813617,0.6954220932017258,0.5646666666666667,0.6,1.0,0.7499999999999999,10,6
sim7_compound,stan,30,0.5813681553892703,0.5392296221452492,0.5597093461432258,0.45599999999999996,0.8571428571428571,1.0,0.923076923076923,7,6
sim7_compound,vega,30,0.6537147672426433,0.716373630110431,0.6390808913834394,0.5386666666666666,0.6666666666666666,1.0,0.8,9,6
sim8_weak_de,decoupler_gsva,30,0.8763217077451312,0.8746330688058087,0.8898118651066984,0.742,0.6666666666666666,1.0,0.8,9,6
sim8_weak_de,decoupler_ulm,30,0.9018227139882173,0.904122567159801,0.8936587795513056,0.7048888888888889,0.75,1.0,0.8571428571428571,8,6
sim8_weak_de,graphist,30,0.8994702668435378,0.9104340366820063,0.8920065289518191,0.7004444444444444,0.6666666666666666,1.0,0.8,9,6
sim8_weak_de,stan,30,0.953428876992024,0.9554100467095398,0.9449648878853212,0.7824444444444445,1.0,1.0,1.0,6,6
sim8_weak_de,vega,30,0.8796114551505969,0.9066906012112037,0.8624895997813992,0.6631111111111111,0.6666666666666666,1.0,0.8,9,6
sim9_vweak_de,decoupler_gsva,30,0.877338043701431,0.8753865335086508,0.8907306979435109,0.7333333333333333,1.0,0.8333333333333334,0.9090909090909091,5,6
sim9_vweak_de,decoupler_ulm,30,0.9032537140076065,0.9063666559037766,0.895306134671497,0.697111111111111,1.0,1.0,1.0,6,6
sim9_vweak_de,graphist,30,0.8991133763383112,0.911938520620433,0.892451700969178,0.7022222222222222,0.6666666666666666,1.0,0.8,9,6
sim9_vweak_de,stan,30,0.9522905249211074,0.9554892944982483,0.9438103328248278,0.7717777777777778,1.0,1.0,1.0,6,6
sim9_vweak_de,vega,30,0.8776474445687001,0.9088019673871532,0.8610836183474028,0.6497777777777777,0.625,0.8333333333333334,0.7142857142857143,8,6
sim10_sparse,decoupler_gsva,29,0.6294390595421485,0.6601004897574823,0.6224165048412238,0.5164444444444445,0.23076923076923078,1.0,0.375,26,6
sim10_sparse,decoupler_ulm,29,0.6509871614761278,0.6884927508446026,0.6338277114092649,0.3342222222222223,0.2222222222222222,1.0,0.3636363636363636,27,6
sim10_sparse,graphist,29,0.7268016770320276,0.8270459704408254,0.7112027036094407,0.6013333333333334,0.3,1.0,0.4615384615384615,20,6
sim10_sparse,stan,29,0.7571434219364698,0.82820035756952,0.7373111546199865,0.3535555555555556,0.8571428571428571,1.0,0.923076923076923,7,6
sim10_sparse,vega,29,0.5294389296754646,0.5574144178156442,0.5137427242176389,0.4631111111111112,0.375,1.0,0.5454545454545454,16,6
sim11_vsparse,decoupler_gsva,29,0.5369945854885413,0.5657749821253302,0.527204789388131,0.40444444444444444,0.2727272727272727,1.0,0.42857142857142855,22,6
sim11_vsparse,decoupler_ulm,29,0.5681355347090734,0.6002790768375796,0.5513003247215589,0.3088888888888889,0.25,1.0,0.4,24,6
sim11_vsparse,graphist,29,0.6385544564247406,0.6814185566170898,0.6192101846358176,0.5397777777777778,0.3333333333333333,1.0,0.5,18,6
sim11_vsparse,stan,29,0.6606904224123743,0.7281944281608559,0.6472542101761927,0.3304444444444445,1.0,0.8333333333333334,0.9090909090909091,5,6
sim11_vsparse,vega,29,0.40288023881066326,0.41024575273052877,0.38689476514608445,0.3740000000000001,0.46153846153846156,1.0,0.631578947368421,13,6
