dataset,tested_group,background_group,tested_n,background_n,mean_abs_r,null_mean_abs_r,null_sd_abs_r,z_strength,n_sig_pairs,null_mean_n_sig,null_sd_n_sig,z_breadth
BRCA-COMMOT,Surrounding tumor,Invasive,823,2027,0.09072631134677317,0.11273830589689832,0.0037472632727170167,-5.874152132441664,156,188.07,11.289158516027666,-2.8407786067018286
BRCA-COMMOT,Healthy,Invasive,485,2027,0.08206086047997893,0.1155451703176261,0.004605687542494518,-7.27020874113429,81,149.32,11.137216887535235,-6.134387135484229
BRCA-COMMOT,Tumor,Invasive,463,2027,0.11480818442787608,0.1158016186660837,0.00481142199412488,-0.20647414407096443,138,145.37,11.43123352923909,-0.6447248217918208
BRCA-COMMOT,Healthy,Surrounding tumor,485,823,0.08206086047997893,0.10005041563927036,0.003867026043086107,-4.652038790067911,81,131.61,10.542196165884981,-4.800707481024821
BRCA-COMMOT,Tumor,Surrounding tumor,463,823,0.11480818442787608,0.09963359116758534,0.003689879597108472,4.1124900845191865,138,125.96,10.210700269814994,1.1791551687783484
BRCA-COMMOT,Tumor,Healthy,463,485,0.11480818442787608,0.09008048346771198,0.0034518816900610937,7.16354243084238,138,112.84,10.343809743029885,2.4323726581447884
