radius,n_bg,n_plus,n_minus,pct_bg,graphist_corr,graphist_def1,vega_corr,vega_def1,stan_corr,stan_def1,decoupler_ulm_corr,decoupler_ulm_def1,decoupler_gsva_corr,decoupler_gsva_def1,gap_corr,gap_def1
2,816,46,38,91,0.4332854917260875,0.8,0.4014492062017591,0.8,0.3357118296924796,0.5,0.3376192703545659,0.6666666666666666,0.4667971715027239,0.9090909090909091,0.0975736620336079,0.30000000000000004
3,733,99,68,81,0.4311233744503752,0.9090909090909091,0.4007133630533961,0.8,0.33257790723047365,0.5,0.33733848389179744,0.6666666666666666,0.4673734227782805,0.9090909090909091,0.09854546721990154,0.40909090909090906
4,641,166,93,71,0.43744889742377857,1.0,0.4091359740493709,1.0,0.34025038333021546,0.8,0.34375570136350153,0.8,0.47422422437549216,0.9090909090909091,0.09719851409356312,0.19999999999999996
6,478,330,92,53,0.4839161642214299,0.9090909090909091,0.4587739375305992,0.9090909090909091,0.39909271938473617,0.8,0.3770304574794035,0.8,0.5053768963265283,0.9090909090909091,0.08482344483669374,0.10909090909090902
8,326,505,69,36,0.5510823460940966,1.0,0.5280495161740711,0.9090909090909091,0.49280279277552064,0.8,0.423586406112016,0.9090909090909091,0.5511697954917721,0.9090909090909091,0.05827955331857593,0.19999999999999996
