n_pairs,graphist,vega,stan,decoupler_ulm,decoupler_gsva
0,0.8409795069173313,0.8359919664520994,0.9444096206960028,0.8329096218204791,0.8248788386384179
5,0.7642234060034547,0.7474497729540113,0.7585631155113917,0.6877243037093008,0.7686027284009602
10,0.711643621523348,0.6945925602209777,0.6756037526944003,0.532297434565908,0.6958230709687322
15,0.6161079387499017,0.5910236141684716,0.5444928125695213,0.44008321470714723,0.6465493167101727
25,0.5827226480345215,0.5621655040861185,0.4802118426012258,0.370067368887666,0.5713295533475764
40,0.44205333150936904,0.42488266795856056,0.31412671472951986,0.24553737816375118,0.4336506791135956
70,0.29777044785280815,0.2782938556361507,0.2265897573425214,0.1657077530542835,0.3047150041539307
100,0.24517394176815968,0.22055211457267307,0.18272971604146357,0.14907570299318765,0.1952500391944383
144,0.20301832160702485,0.17829908049067575,0.14735050700982277,0.11303122931863106,0.14445766466327528
