n_pairs,graphist,vega,stan,decoupler_ulm,decoupler_gsva,gap
0,0.8483559739825842,0.8412262589651152,0.9440463536888212,0.8579468972135504,0.8343242777784552,-0.09569037970623695
15,0.610191972377553,0.578562486147248,0.5479611178321093,0.5029930384633796,0.65612864978369,0.06223085454544364
40,0.43744889742377857,0.4091359740493709,0.34025038333021546,0.34375570136350153,0.47422422437549216,0.09719851409356312
90,0.24326944475343074,0.21277419916290677,0.17680460183204028,0.23699533028311356,0.3248333693482815,0.06646484292139046
144,0.12331562701208337,0.10673102204486096,0.1331870166413215,0.2249941164853651,0.26153087520049173,-0.009871389629238114
