scenario,method,used_cutoff,positive_precision,positive_recall,positive_f1,positive_pr_auc,negative_precision,negative_recall,negative_f1,negative_pr_auc,any_precision,any_recall,any_f1
osmfish_easy,graphist,0.2,0.9678456591639871,0.3003992015968064,0.4584920030464585,0.44347728940842773,0.6856060606060606,0.17832512315270935,0.2830336200156372,0.3349493834140198,0.8434782608695652,0.2404561229548835,0.3742283950617284
osmfish_easy,scissor,0.2,0.9735099337748344,0.2934131736526946,0.45092024539877296,0.4392792454858935,0.6958174904942965,0.18029556650246306,0.2863849765258216,0.33640301483696855,0.8495575221238938,0.23797719385225583,0.3718048024786987
osmfish_easy,spalinker,0.2,0.31262939958592134,0.1506986027944112,0.20336700336700336,0.29944591394249526,0.18633540372670807,0.08866995073891626,0.12016021361815753,0.2487907712537618,0.2939958592132505,0.14080317302925136,0.19041233657391887
osmfish_easy,spapheno,0.2,0.9047619047619048,0.436127744510978,0.5885521885521886,0.8779808231964807,1.0,0.47586206896551725,0.6448598130841121,0.9725129042594512,0.9523809523809523,0.4561229548834903,0.6168286959436807
osmfish_medium,graphist,0.2,0.009868421052631578,0.0057251908396946565,0.007246376811594203,0.11323118842581821,0.21301775147928995,0.5070422535211268,0.3,0.32254955646026645,0.13862928348909656,0.13363363363363365,0.13608562691131498
osmfish_medium,scissor,0.2,0.009933774834437087,0.0057251908396946565,0.007263922518159806,0.11327843519742654,0.2153392330383481,0.5140845070422535,0.30353430353430355,0.32765606546749165,0.13884555382215288,0.13363363363363365,0.13618974751338947
osmfish_medium,spalinker,0.2,0.15942028985507245,0.14694656488549618,0.1529294935451837,0.16819057563589188,0.06625258799171843,0.22535211267605634,0.1024,0.05716105390981405,0.12422360248447205,0.18018018018018017,0.14705882352941177
osmfish_medium,spapheno,0.2,0.546583850931677,0.5038167938931297,0.5243296921549156,0.5263004229791254,0.09109730848861283,0.30985915492957744,0.1408,0.060090002689001304,0.33126293995859213,0.4804804804804805,0.39215686274509803
osmfish_hard,graphist,0.5,0.054340622929092114,0.3228346456692913,0.09302325581395347,0.06015086488112348,0.3556231003039514,0.4262295081967213,0.3877381938690969,0.2559881182184404,0.16843562528841716,0.45454545454545453,0.24579124579124573
osmfish_hard,scissor,0.5,0.05473965287049399,0.3228346456692913,0.09360730593607305,0.0602052406426329,0.3540090771558245,0.4262295081967213,0.38677685950413226,0.256184163703769,0.16952292728114868,0.45579078455790784,0.24713031735313976
osmfish_hard,spalinker,0.2,0.051759834368530024,0.0984251968503937,0.06784260515603799,0.06996862851590965,0.15113871635610765,0.13296903460837886,0.14147286821705427,0.14466124738751313,0.11490683229813664,0.1382316313823163,0.12549462973431316
osmfish_hard,spapheno,0.2,0.0,0.0,0.0,0.10763870421889482,0.0,0.0,0.0,0.10698319212764704,0.0,0.0,0.0
starmap_easy,graphist,0.2,0.6444444444444445,0.7837837837837838,0.7073170731707318,0.6497278647859782,0.8,0.21224489795918366,0.3354838709677419,0.3963223114010433,0.695,0.3904494382022472,0.5
starmap_easy,scissor,0.2,0.6466165413533834,0.7747747747747747,0.7049180327868851,0.6379062954701435,0.7936507936507936,0.20408163265306123,0.32467532467532473,0.392049977012476,0.6938775510204082,0.38202247191011235,0.4927536231884058
starmap_easy,spalinker,0.2,0.34615384615384615,0.32432432432432434,0.33488372093023255,0.29113767814209246,0.08653846153846154,0.036734693877551024,0.0515759312320917,0.24078531059813357,0.22115384615384615,0.12921348314606743,0.16312056737588654
starmap_easy,spapheno,0.2,0.6634615384615384,0.6216216216216216,0.641860465116279,0.6793785004779521,0.7596153846153846,0.3224489795918367,0.4527220630372493,0.7378351328412884,0.7115384615384616,0.4157303370786517,0.524822695035461
starmap_hard,graphist,0.5,0.2979942693409742,0.6842105263157895,0.41516966067864275,0.2874601739400477,0.20754716981132076,0.3548387096774194,0.26190476190476186,0.24132584474942406,0.3110236220472441,0.6448979591836734,0.41965471447543157
starmap_hard,scissor,0.2,0.0,0.0,0.0,0.14645773530670667,0.8,0.12903225806451613,0.2222222222222222,0.1901205956087965,0.7222222222222222,0.053061224489795916,0.09885931558935361
starmap_hard,spalinker,0.2,0.1346153846153846,0.09210526315789473,0.109375,0.18303418987988282,0.16346153846153846,0.1827956989247312,0.17258883248730963,0.14168568361465986,0.1778846153846154,0.1510204081632653,0.16335540838852097
starmap_hard,spapheno,0.2,0.5673076923076923,0.3881578947368421,0.4609375,0.5061360421832765,0.20192307692307693,0.22580645161290322,0.21319796954314724,0.11337868974852333,0.5192307692307693,0.44081632653061226,0.4768211920529801
