mean_abs_r,n_sig_pairs
0.0890604091133542,127
0.0981192348830184,138
0.1039203895837954,147
0.08957399086733431,117
0.09090108952995297,123
0.09307306486045518,131
0.10195181972652154,150
0.09913935052207001,140
0.08955150178508499,116
0.09072929182685253,114
0.090206459468129,116
0.09908843242553202,140
0.093957800548798,115
0.10311850548308578,134
0.09946163476227834,145
0.09752115726095524,138
0.09408071629132475,133
0.0973718595736787,131
0.10160339037962486,134
0.09543849319579753,123
0.09927144210575764,139
0.10504335348715992,157
0.09255585089320797,127
0.09967823207015153,132
0.09051528632481395,114
0.10265226398830578,144
0.08808888206447817,117
0.09102125992889362,122
0.09487101820074388,129
0.09995472637755944,135
0.09311808823725422,142
0.10746877436523888,142
0.09074460737169986,114
0.09260724189892547,131
0.09195150118274514,120
0.09576314505354284,119
0.09002696682154764,111
0.10054371877259005,141
0.10345731727892032,135
0.09935625902261205,128
0.09423691447550654,129
0.09073915509350909,123
0.09807517585788937,141
0.09602133225540675,132
0.10353713676457035,153
0.09217160532765234,116
0.0956297752499904,123
0.09584858020755592,142
0.09728715390948123,139
0.09698820485091302,126
0.09419328479667181,124
0.09791124875911539,125
0.0905947895279571,121
0.09231926446305466,118
0.10229205005584793,154
0.09678030245825821,144
0.09801658012785222,129
0.09216823020081566,125
0.09704333034975088,132
0.09686490257177907,134
0.09742130450847868,132
0.10246956633964813,146
0.09900921115647994,156
0.09705066275836996,134
0.09318122687324686,125
0.08314295897709428,106
0.09415498994571196,122
0.10441227021645724,155
0.0875933655027365,116
0.09104908479812865,120
0.09758955759048514,132
0.09354353564219055,135
0.09735328683997903,121
0.09201197693277449,122
0.09350723092785578,119
0.09001306619122464,120
0.09568629380069714,138
0.09676870941485306,132
0.09503880759541376,138
0.09255212949825485,123
0.09891333207640846,130
0.08892746066591245,115
0.10154498466181645,132
0.09822689121397489,128
0.09711955053521355,140
0.09808481776983684,130
0.08770473859597035,113
0.09443361165449575,125
0.09985074948011961,148
0.09635006941220059,127
0.09484583308158695,136
0.09185768987326941,119
0.09997731883760153,154
0.09894095089002097,141
0.09230018689865264,121
0.08920789398537451,110
0.10505071616464849,144
0.10241118083036416,148
0.10200219546826704,145
0.10347278236964469,151
0.09802514808519741,123
0.09613307242084411,137
0.09102575801973677,120
0.09142349486823227,123
0.09069675427027236,114
0.09334783934110472,127
0.09695674879442231,137
0.093964092649995,134
0.0916878769100923,128
0.09084082025827461,123
0.09315847444430957,127
0.10122497738845233,144
0.0888164532682707,117
0.10648774344065094,146
0.08889876743264408,116
0.09012977657452835,115
0.08811708730676081,119
0.08841050024948788,112
0.0967471692475476,127
0.09143092260764123,123
0.10296028041435146,142
0.1000669143484497,139
0.09329837795790022,131
0.09875419938770058,145
0.10187080189212203,131
0.09839930403791512,138
0.09288466638804446,115
0.09126376737150049,120
0.09119779663842942,126
0.0941587133821185,132
0.09151729427624328,124
0.09427090885554179,125
0.09297745444914779,122
0.09567598354276148,133
0.0915004014874548,120
0.09300630620513514,129
0.09713442824297368,138
0.09540690055805923,127
0.10381167624891045,141
0.10045201987776298,144
0.09009554951973857,125
0.09353659631065944,132
0.10060654465936561,141
0.09051410723168453,113
0.09333388779089918,123
0.09206482247247282,121
0.09462097366979844,126
0.096566732344893,133
0.10488739742718664,144
0.08908239300800941,121
0.09468187312674348,133
0.09350872726462468,129
0.10365707247891227,149
0.09969164969607204,135
0.08945749351162995,121
0.09669287111287383,141
0.09427927586508708,128
0.09882595993879152,127
0.09030325657916359,115
0.09637430584912828,131
0.09454621254721086,127
0.09076677505244334,126
0.10465422469518178,152
0.09992596136085134,142
0.10174123063577127,141
0.09336243125010249,139
0.09173727387574368,112
0.10353900053416495,148
0.09451117530218117,127
0.09127319943136963,132
0.09533989756740276,124
0.10152899581000142,148
0.10150858022097606,149
0.09345149146695182,122
0.09735362469207712,137
0.09430591725824439,129
0.10409095220412888,142
0.09564232257867084,137
0.09487480238148774,140
0.09799557007616166,141
0.10182874097355032,144
0.09692114850348668,126
0.08879648240534409,121
0.10160827115372419,138
0.08830119672495391,108
0.0924699082965662,130
0.10226969521785978,145
0.09074931417115985,120
0.09535326630901739,131
0.09910587796595938,142
0.09694142413094006,135
0.09317317379905694,127
0.08787886519002422,115
0.09737631111113283,142
0.08833273980479883,119
0.09622218353630836,143
0.10062222908121457,130
0.09480778271795279,125
0.09455723202804397,130
0.09192953147453806,115
