mean_abs_r,n_sig_pairs
0.06605463418719075,42
0.06698122068016225,31
0.0719146630355781,43
0.06670337197947067,40
0.0674143375815982,35
0.06920768310764244,32
0.06879230881094248,36
0.06807955245349027,44
0.06968515121299214,41
0.07232017958893697,42
0.06469781978383801,25
0.06551089464669717,31
0.07041442063144901,56
0.0674644504148191,36
0.06348493824751977,27
0.07553317990159598,60
0.07240898639626615,54
0.06797829602555425,36
0.06609955760137486,39
0.07315127374721254,52
0.06697491970905278,27
0.07057104956000765,38
0.06711469315993157,29
0.07021642828951682,42
0.06385891776949934,38
0.06521478766503505,28
0.06505098197245594,32
0.07587619630063536,50
0.06846112759365852,43
0.06575546464435147,23
0.0760200014001279,54
0.06588586458779508,31
0.06747689049615146,30
0.07746404270193248,63
0.068839040724461,32
0.06929761883943872,33
0.07148780193591579,44
0.07242540904567446,44
0.06651541255660616,47
0.06801852171171743,32
0.07070530554408354,45
0.06996827180755812,50
0.06895675508662603,29
0.062153206881971235,23
0.06609811051267847,20
0.07115887786757684,43
0.06677503178329595,34
0.07414828915587422,57
0.06738500327116631,40
0.06742495953696317,36
0.07036450000039336,42
0.07393843852372806,40
0.07381054630060246,50
0.06664656137818378,34
0.06913131319035806,36
0.06926558938621735,38
0.07035606233396052,38
0.06260127169380794,31
0.06628081476372115,46
0.07218607194604007,52
0.06810749281965446,38
0.06917801627110058,49
0.06614615642810268,21
0.06961844592950672,37
0.06986847805290296,44
0.06901036532464178,43
0.06844510615020212,31
0.06806522488816022,30
0.06807793307663396,30
0.06714376934727045,29
0.06594419540893239,39
0.07340727678336809,48
0.06960008380703837,45
0.06840554452563576,29
0.07216883395182352,50
0.0683643276688912,35
0.06682065122232633,45
0.067289551468013,27
0.06855070981317035,35
0.06418655982658418,28
0.06631735378351994,33
0.0663465911024585,41
0.0679965873322785,44
0.06982526901650198,45
0.07036314325932368,47
0.06811350226805865,45
0.06734416732125963,37
0.06810865124852683,38
0.06803139431886444,40
0.0710494165441662,56
0.07304481819204485,61
0.06219401349655582,28
0.06941184305075067,32
0.0695784063265322,42
0.06937295004493234,41
0.07181974604983518,48
0.06811056202382869,48
0.06911138895357306,36
0.07256783008616953,38
0.07110086232696068,49
0.07437710044414536,47
0.06669992043156257,39
0.0682862648115936,35
0.07180047184551187,54
0.07317900894735126,50
0.06610459990435484,30
0.06775479343582741,33
0.06910014981907028,45
0.07280689633881743,38
0.06747445920524754,43
0.06955455961349682,57
0.06578117407155278,29
0.07690680461721985,59
0.06719271641617629,39
0.07041350707067227,41
0.06903419580972797,30
0.0645749722440134,29
0.06811042764765182,32
0.0706522720190877,48
0.06890760475860243,32
0.06852566156050455,27
0.07523311044607457,48
0.07330042277928751,56
0.06639708705075957,30
0.07223320867136022,53
0.0644729977597691,36
0.07141193434585591,45
0.07063384085048256,40
0.06486618586068815,27
0.07259765094628595,45
0.06855103909037794,34
0.07181106002986522,45
0.068749296631206,25
0.06620086572079525,31
0.07162467220364403,43
0.07073025826629352,30
0.07166394112766303,37
0.07046674364497789,40
0.0692210054917946,37
0.06949842431400978,40
0.06756230069185827,39
0.06872651502202423,36
0.06978504830167911,42
0.06900464955492311,46
0.0677220750852499,39
0.06841704961247827,42
0.07739752059306709,57
0.06449025098775507,35
0.07247700599104738,47
0.07479197581972201,50
0.06996267753846191,41
0.06934674800801142,45
0.07086085920641054,43
0.06519934498169169,37
0.07029309873787046,47
0.06785220051737252,38
0.06624713130086886,38
0.06956743536085415,40
0.07415161000552059,47
0.06834596192907265,44
0.06863677389461374,38
0.06708468027735176,39
0.07071098041797894,46
0.06841006434690772,31
0.06759228413751481,37
0.0681488617604492,33
0.07386528630169535,41
0.07261901743590216,60
0.06802652139031035,35
0.06631881540452479,43
0.06500727814786579,19
0.07125014886196938,49
0.06826331762192155,30
0.06837607979925818,40
0.06923541317501214,34
0.07313058659457487,49
0.06629969563242245,40
0.06750081353997027,38
0.0676234978146036,24
0.06560391842318698,27
0.07073928321169362,36
0.0686277108471822,31
0.06917310280211464,51
0.07001647174631315,44
0.06862695694036915,22
0.06779997805921345,39
0.06742143970997858,29
0.06817804868431271,34
0.07039115854420049,49
0.07637852829395392,48
0.06701233409559412,39
0.06443976444736356,36
0.07200480319430543,42
0.06966339312128542,34
0.0664720398849458,31
0.06453218175211771,36
0.07228954236445537,52
0.06679175504479648,29
0.07580729449323331,55
0.07263299279507196,46
